aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
91544302,1991,2.333,107,1,0.75,0.925,0.846
91546074,1994,4,108,1,0.987,0.922,0.815
91546574,1994,3.467,108,1,0.946,0.913,0.803
91570095,1994,1.5,96,1,0.89,0.918,0.836
91570110,1992,2.571,106,1,0.722,0.906,0.67
91570129,1996,1.625,89,1,0.545,0.927,0.86
91570187,1992,1.143,93,1,0.965,0.932,0.696
91570291,1994,3.667,104,1,0.701,0.887,0.799
91570412,1991,2.333,90,1,0.941,0.886,0.88
91570425,1994,2.5,104,1,0.779,0.921,0.868
91570523,1996,1.4,91,1,0.823,0.908,0.727
91570525,1995,3.25,107,1,0.721,0.909,0.743
91570553,1991,1,90,0,0.916,0.91,0.818
91570597,1993,1.667,94,1,0.53,0.904,0.834
91570614,1992,2.75,108,1,0.701,0.873,0.906
91570621,1996,4,111,1,0.51,0.923,0.79
91570692,1994,3.25,108,1,0.7,0.959,0.924
91570823,1994,0.556,87,1,0.823,0.908,0.727
91570928,1992,3.5,95,1,0.913,0.922,0.836
91570986,1991,1.067,73,0,0.794,0.962,0.905
91570997,1994,4,119,1,0.924,0.913,0.782
91571005,1994,1.571,91,1,0.565,0.898,0.899
91571014,1996,2.875,87,1,0.843,0.913,0.76
91571116,1995,3.125,104,1,0.91,0.965,0.932
91571155,1992,2,107,1,0.913,0.922,0.833
91571214,1992,1.286,102,1,0.604,0.961,0.908
91571218,1993,3.286,118,1,0.843,0.913,0.76
91571310,1994,3.889,104,1,0.875,0.858,0.903
91571467,1991,1.5,104,1,0.984,0.963,0.93
91571560,1994,3,119,1,0.902,0.962,0.926
91571601,1994,3,95,1,0.704,0.913,0.87
91571610,1992,2,102,1,0.875,0.858,0.903
91571706,1992,2.286,91,1,0.527,0.928,0.857
91571707,1991,3.5,107,1,0.911,0.909,0.919
91571807,1992,2.625,93,1,0.758,0.907,0.901
91571812,1996,3.222,91,1,0.904,0.931,0.835
91571817,1993,4,116,1,0.904,0.931,0.835
91571876,1991,1.571,87,1,0.885,0.937,0.89
91572001,1991,3.667,122,1,0.814,0.829,0.84
91572040,1991,1,119,1,0.792,0.957,0.908
91572063,1994,3.929,104,1,0.791,0.944,0.849
91572117,1994,1,100,1,0.865,0.948,0.769
91572122,1991,2.167,91,1,0.988,0.901,0.855
91572128,1995,2.286,100,1,0.862,0.915,0.831
91572145,1992,2.5,90,1,0.936,0.939,0.737
91572183,1996,2.167,89,1,0.744,0.94,0.936
91572190,1994,1.929,87,1,0.921,0.938,0.836
91572204,1991,3,114,1,0.69,0.879,0.79
91572214,1993,3.583,107,1,0.814,0.934,0.775
91572221,1991,3.5,119,1,0.862,0.915,0.831
